"時点","地域コード","地域","（季節調整値）完全失業率（男女計）【%】","注記"
"1966年4月","00000","全国","1.3",""
"1966年5月","00000","全国","1.4",""
"1966年6月","00000","全国","1.3",""
"1966年7月","00000","全国","1.2",""
"1966年8月","00000","全国","1.3",""
"1966年9月","00000","全国","1.4",""
"1966年10月","00000","全国","1.3",""
"1966年11月","00000","全国","1.3",""
"1966年12月","00000","全国","1.2",""
"1967年1月","00000","全国","1.2",""
"1967年2月","00000","全国","1.1",""
"1967年3月","00000","全国","1.6",""
"1967年4月","00000","全国","1.3",""
"1967年5月","00000","全国","1.2",""
"1967年6月","00000","全国","1.3",""
"1967年7月","00000","全国","1.2",""
"1967年8月","00000","全国","1.2",""
"1967年9月","00000","全国","1.1",""
"1967年10月","00000","全国","1.2",""
"1967年11月","00000","全国","1.3",""
"1967年12月","00000","全国","1.3",""
"1968年1月","00000","全国","1.3",""
"1968年2月","00000","全国","1.3",""
"1968年3月","00000","全国","1.2",""
"1968年4月","00000","全国","1.2",""
"1968年5月","00000","全国","1.2",""
"1968年6月","00000","全国","1.1",""
"1968年7月","00000","全国","1.3",""
"1968年8月","00000","全国","1.2",""
"1968年9月","00000","全国","1.1",""
"1968年10月","00000","全国","1.1",""
"1968年11月","00000","全国","1.0",""
"1968年12月","00000","全国","1.1",""
"1969年1月","00000","全国","1.1",""
"1969年2月","00000","全国","1.2",""
"1969年3月","00000","全国","1.1",""
"1969年4月","00000","全国","1.1",""
"1969年5月","00000","全国","1.2",""
"1969年6月","00000","全国","1.3",""
"1969年7月","00000","全国","1.2",""
"1969年8月","00000","全国","1.1",""
"1969年9月","00000","全国","1.1",""
"1969年10月","00000","全国","1.1",""
"1969年11月","00000","全国","1.0",""
"1969年12月","00000","全国","1.1",""
"1970年1月","00000","全国","1.1",""
"1970年2月","00000","全国","1.1",""
"1970年3月","00000","全国","1.0",""
"1970年4月","00000","全国","1.2",""
"1970年5月","00000","全国","1.1",""
"1970年6月","00000","全国","1.1",""
"1970年7月","00000","全国","1.2",""
"1970年8月","00000","全国","1.2",""
"1970年9月","00000","全国","1.3",""
"1970年10月","00000","全国","1.3",""
"1970年11月","00000","全国","1.3",""
"1970年12月","00000","全国","1.2",""
"1971年1月","00000","全国","1.1",""
"1971年2月","00000","全国","1.2",""
"1971年3月","00000","全国","1.2",""
"1971年4月","00000","全国","1.2",""
"1971年5月","00000","全国","1.2",""
"1971年6月","00000","全国","1.2",""
"1971年7月","00000","全国","1.2",""
"1971年8月","00000","全国","1.3",""
"1971年9月","00000","全国","1.2",""
"1971年10月","00000","全国","1.3",""
"1971年11月","00000","全国","1.3",""
"1971年12月","00000","全国","1.4",""
"1972年1月","00000","全国","1.4",""
"1972年2月","00000","全国","1.4",""
"1972年3月","00000","全国","1.4",""
"1972年4月","00000","全国","1.4",""
"1972年5月","00000","全国","1.4",""
"1972年6月","00000","全国","1.4",""
"1972年7月","00000","全国","1.4",""
