"時点","地域コード","地域","（季節調整値）完全失業率（男女計）【%】","注記"
"2012年2月","00000","全国","4.5",""
"2012年3月","00000","全国","4.5",""
"2012年4月","00000","全国","4.5",""
"2012年5月","00000","全国","4.4",""
"2012年6月","00000","全国","4.3",""
"2012年7月","00000","全国","4.3",""
"2012年8月","00000","全国","4.2",""
"2012年9月","00000","全国","4.2",""
"2012年10月","00000","全国","4.1",""
"2012年11月","00000","全国","4.1",""
"2012年12月","00000","全国","4.3",""
"2013年1月","00000","全国","4.2",""
"2013年2月","00000","全国","4.3",""
"2013年3月","00000","全国","4.1",""
"2013年4月","00000","全国","4.1",""
"2013年5月","00000","全国","4.1",""
"2013年6月","00000","全国","3.9",""
"2013年7月","00000","全国","3.8",""
"2013年8月","00000","全国","4.1",""
"2013年9月","00000","全国","3.9",""
"2013年10月","00000","全国","4.0",""
"2013年11月","00000","全国","3.9",""
"2013年12月","00000","全国","3.7",""
"2014年1月","00000","全国","3.7",""
"2014年2月","00000","全国","3.6",""
"2014年3月","00000","全国","3.7",""
"2014年4月","00000","全国","3.6",""
"2014年5月","00000","全国","3.6",""
"2014年6月","00000","全国","3.7",""
"2014年7月","00000","全国","3.7",""
"2014年8月","00000","全国","3.5",""
"2014年9月","00000","全国","3.5",""
"2014年10月","00000","全国","3.6",""
"2014年11月","00000","全国","3.4",""
"2014年12月","00000","全国","3.4",""
"2015年1月","00000","全国","3.6",""
"2015年2月","00000","全国","3.5",""
"2015年3月","00000","全国","3.4",""
"2015年4月","00000","全国","3.4",""
"2015年5月","00000","全国","3.3",""
"2015年6月","00000","全国","3.4",""
"2015年7月","00000","全国","3.3",""
"2015年8月","00000","全国","3.4",""
"2015年9月","00000","全国","3.4",""
"2015年10月","00000","全国","3.2",""
"2015年11月","00000","全国","3.3",""
"2015年12月","00000","全国","3.3",""
"2016年1月","00000","全国","3.2",""
"2016年2月","00000","全国","3.3",""
"2016年3月","00000","全国","3.2",""
"2016年4月","00000","全国","3.2",""
"2016年5月","00000","全国","3.2",""
"2016年6月","00000","全国","3.1",""
"2016年7月","00000","全国","3.0",""
"2016年8月","00000","全国","3.1",""
"2016年9月","00000","全国","3.0",""
"2016年10月","00000","全国","3.0",""
"2016年11月","00000","全国","3.0",""
"2016年12月","00000","全国","3.0",""
"2017年1月","00000","全国","3.0",""
"2017年2月","00000","全国","2.9",""
"2017年3月","00000","全国","2.8",""
"2017年4月","00000","全国","2.8",""
"2017年5月","00000","全国","3.1",""
"2017年6月","00000","全国","2.8",""
"2017年7月","00000","全国","2.8",""
"2017年8月","00000","全国","2.8",""
"2017年9月","00000","全国","2.8",""
"2017年10月","00000","全国","2.7",""
"2017年11月","00000","全国","2.7",""
"2017年12月","00000","全国","2.7",""
"2018年1月","00000","全国","2.4",""
"2018年2月","00000","全国","2.5",""
"2018年3月","00000","全国","2.5",""
"2018年4月","00000","全国","2.5",""
"2018年5月","00000","全国","2.3",""
"2018年6月","00000","全国","2.5",""
"2018年7月","00000","全国","2.5",""
"2018年8月","00000","全国","2.5",""
"2018年9月","00000","全国","2.3",""
"2018年10月","00000","全国","2.4",""
"2018年11月","00000","全国","2.5",""
"2018年12月","00000","全国","2.4",""
"2019年1月","00000","全国","2.5",""
"2019年2月","00000","全国","2.4",""
"2019年3月","00000","全国","2.5",""
"2019年4月","00000","全国","2.4",""
"2019年5月","00000","全国","2.4",""
"2019年6月","00000","全国","2.3",""
"2019年7月","00000","全国","2.3",""
"2019年8月","00000","全国","2.3",""
"2019年9月","00000","全国","2.4",""
"2019年10月","00000","全国","2.4",""
"2019年11月","00000","全国","2.2",""
"2019年12月","00000","全国","2.2",""
"2020年1月","00000","全国","2.4",""
"2020年2月","00000","全国","2.4",""
"2020年3月","00000","全国","2.5",""
"2020年4月","00000","全国","2.6",""
"2020年5月","00000","全国","2.9",""
"2020年6月","00000","全国","2.8",""
"2020年7月","00000","全国","2.9",""
"2020年8月","00000","全国","3.0",""
"2020年9月","00000","全国","3.0",""
"2020年10月","00000","全国","3.1",""
